question,answer,keywords,category
Which organ pumps blood throughout the human body?,Heart,"human heart, circulatory system",Science
What is 15 × 8?,120,"multiplication, 15 times 8",Maths
What is the opposite of “ancient”?,Modern,"antonyms, ancient opposite",English
Which is the largest planet in our Solar System?,Jupiter,"largest planet, solar system",GK
What does CPU stand for?,Central Processing Unit,"CPU full form, computer basics",Computer
What gas do plants absorb during photosynthesis?,Carbon dioxide,"photosynthesis, carbon dioxide",Science
What is 144 ÷ 12?,12,"division, 144 divided by 12",Maths
Who was the first President of India?,Dr. Rajendra Prasad,first president of India,Social Science
Identify the noun: “The boy is playing.”,Boy,noun identification,English
"Find the next number: 2, 4, 8, 16, __",32,"number series, doubling pattern",Reasoning
What is the capital of Australia?,Canberra,Australia capital,GK
At what temperature does water normally boil?,100°C,boiling point of water,Science
What is the perimeter of a square with side 5 cm?,20 cm,"square perimeter, maths",Maths
Which device is used to enter text into a computer?,Keyboard,computer input devices,Computer
What is the plural of “child”?,Children,"plural nouns, child",English
Which planet is known as the Red Planet?,Mars,"Red Planet, Mars",Science
What is 25% of 200?,50,"percentage, 25 percent",Maths
In which direction does the Sun rise?,East,"directions, sunrise",Social Science
How many continents are there?,7,seven continents,GK
"If CAT = 3 letters, how many letters are there in ELEPHANT?",8,"reasoning, counting letters",Reasoning
Which part of a plant absorbs water from the soil?,Roots,"plant roots, water absorption",Science
What is the value of 7²?,49,"square numbers, 7 squared",Maths
Fill in the blank: “She ___ going to school.”,is,"English grammar, is am are",English
What is used to store files permanently in a computer?,Storage device,"computer storage, hard drive",Computer
What is the national animal of India?,Bengal Tiger,India national animal,GK
How many bones are there approximately in an adult human body?,206,"human skeleton, 206 bones",Science
A triangle has how many sides?,3,triangle properties,Maths
Who wrote the Indian national anthem?,Rabindranath Tagore,"Indian national anthem, Tagore",Social Science
What type of word is “quickly” in “He runs quickly”?,Adverb,"adverbs, parts of speech",English
"Find the odd one out: Apple, Mango, Potato, Banana",Potato,"odd one out, reasoning",Reasoning
Which planet is closest to the Sun?,Mercury,"planets, closest planet to Sun",Science
The Earth revolves around the Sun.,TRUE,"Earth revolution, solar system",Science
The process by which plants make their food is called ________.,Photosynthesis,"photosynthesis, plant food",Science
"Match: Heart, Brain, Lungs with Pumping blood, Thinking, Breathing.","1-b, 2-a, 3-c","human organs, match the following",Science
